example_id                                              | status | run_time        |
./spec/requests/api/v1/destinations_spec.rb[1:3:1]      | passed | 0.00674 seconds |
./spec/requests/api/v1/destinations_spec.rb[1:3:2]      | passed | 0.03372 seconds |
./spec/requests/api/v1/destinations_spec.rb[1:3:3]      | passed | 0.00104 seconds |
./spec/requests/api/v1/properties_spec.rb[1:1:1]        | passed | 0.0052 seconds  |
./spec/requests/api/v1/properties_spec.rb[1:1:2]        | passed | 0.00914 seconds |
./spec/requests/api/v1/properties_spec.rb[1:2:1]        | passed | 0.00412 seconds |
./spec/requests/api/v1/properties_spec.rb[1:3:1]        | passed | 0.00081 seconds |
./spec/requests/api/v1/properties_spec.rb[1:3:2]        | passed | 0.00312 seconds |
./spec/requests/api/v1/properties_spec.rb[1:3:3]        | passed | 0.0056 seconds  |
./spec/requests/api/v1/properties_spec.rb[1:3:4]        | passed | 0.00444 seconds |
./spec/requests/api/v1/properties_spec.rb[1:4:1]        | passed | 0.00647 seconds |
./spec/requests/api/v1/registrations_spec.rb[1:1]       | passed | 0.00951 seconds |
./spec/requests/api/v1/registrations_spec.rb[1:2]       | passed | 0.00265 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:1]            | passed | 0.00607 seconds |
./spec/requests/api/v1/sessions_spec.rb[1:2]            | passed | 0.0099 seconds  |
